zipcode,room_type,count
10023,Entire home/apt,1
210,Private room,1
90001,Entire home/apt,3
90001,Private room,1
90001,Shared room,1
90002,Entire home/apt,1
90002,Private room,4
90003,Entire home/apt,2
90003,Private room,5
90003,Shared room,1
90004,Entire home/apt,231
90004,Private room,130
90004,Shared room,26
90005,Entire home/apt,119
90005,Private room,97
90005,Shared room,37
90005-3747,Entire home/apt,1
90006,Entire home/apt,71
90006,Private room,157
90006,Shared room,116
90007,Entire home/apt,29
90007,Private room,112
90007,Shared room,48
90008,Entire home/apt,36
90008,Private room,42
90008,Shared room,2
90010,Entire home/apt,37
90010,Private room,19
90010,Shared room,1
90011,Entire home/apt,3
90011,Private room,13
90011,Shared room,1
90012,Entire home/apt,185
90012,Private room,126
90012,Shared room,23
90013,Entire home/apt,131
90013,Private room,27
90013,Shared room,8
90014,Entire home/apt,135
90014,Private room,42
90014,Shared room,12
90015,Entire home/apt,141
90015,Private room,30
90015,Shared room,18
90016,Entire home/apt,78
90016,Private room,67
90016,Shared room,3
90017,Entire home/apt,251
90017,Private room,34
90017,Shared room,6
90018,Entire home/apt,83
90018,Private room,67
90018,Shared room,64
90019,Entire home/apt,258
90019,Private room,194
90019,Shared room,60
90020,Entire home/apt,95
90020,Private room,49
90020,Shared room,31
90021,Entire home/apt,44
90021,Private room,11
90021,Shared room,1
90022,Entire home/apt,6
90022,Private room,1
90023,Entire home/apt,12
90023,Private room,3
90024,Entire home/apt,300
90024,Private room,103
90024,Shared room,37
90025,Entire home/apt,304
90025,Private room,194
90025,Shared room,28
90026,Entire home/apt,682
90026,Private room,286
90026,Shared room,12
90027,Entire home/apt,427
90027,Private room,123
90027,Shared room,21
90028,Entire home/apt,773
90028,Private room,266
90028,Shared room,55
90029,Entire home/apt,242
90029,Private room,108
90029,Shared room,22
90031,Entire home/apt,54
90031,Private room,45
90031,Shared room,4
90032,Entire home/apt,46
90032,Private room,26
90032,Shared room,2
90033,Entire home/apt,18
90033,Private room,20
90033,Shared room,31
90034,Entire home/apt,197
90034,Private room,214
